,Interval,Product,Pice,Order Quantity,Year,Month
597,24/06/2021,Acer Swift 3 Laptop 14&quot; FHD i3-1115G4 8GB 256GB SSD Silver | SF314-59-35SS + JBL Tune 110 Bluetooth In Ear Headphones Black OH4278,"13,499",1,2021,June
598,24/06/2021,Acer Spin 1 Laptop 11.6&quot; Touch Celeron N4020 4GB 64GB | SP111-33-C7J6,"5,499",1,2021,June
599,25/06/2021,Acer Travelmate P2 Laptop 15.6&quot; i5-10210U 8GB 256GB SSD + 1TB HDD | Win 10 Pro | TMP215-52G-54PB + RAPOO 9300M MULTIMODE WIRELESS COMBO BLACK,"16,499",1,2021,June
600,28/06/2021,Acer Swift 3 Laptop 14&#039;&#039; FHD i5-1135G7 8GB 512GB SSD Melon Pink | SF314-59-58ZS,"13,999",1,2021,June
601,28/06/2021,Acer Travelmate P2 Laptop 15.6&quot; i5-10210U 8GB 256GB SSD + 1TB HDD | Win 10 Pro | TMP215-52G-54PB + RAPOO 9300M MULTIMODE WIRELESS COMBO BLACK,"16,499",1,2021,June
602,28/06/2021,Acer Chrome Spin 511 Chromebook Celeron N4020 4GB 32GB eMMC | R752T-C8TB,"7,499",1,2021,June
603,29/06/2021,Acer Swift 3 Laptop 14&#039;&#039; FHD i5-1135G7 8GB 512GB SSD Melon Pink | SF314-59-58ZS,"13,999",1,2021,June
604,30/06/2021,Acer Aspire 3 Laptop 15.6&#039;&#039; i5-1035G1 12GB 512GB SSD | Black | A315-56-57X5 + JBL Charge 4 Bluetooth Portable Speaker Grey OH4603,"12,499",1,2021,June
605,01/07/2021,Acer Spin 5 Laptop 13.5&quot; Touch 8GB 512GB SSD Grey | SP513-55N-58ZN,"18,499",1,2021,July
606,01/07/2021,Acer Swift 3 Laptop 14&#039;&#039; FHD i5-1135G7 8GB 512GB SSD Melon Pink | SF314-59-58ZS,"13,999",1,2021,July
607,02/07/2021,Acer Swift 5 Laptop 14&quot; FHD i7-1165G7 8GB 1TB SSD Win 10 Pro Green  | SF514-55T+ RAPOO 9300M MULTIMODE WIRELESS COMBO BLACK 9300M,"23,499",1,2021,July
608,02/07/2021,Acer Swift 3 Laptop 14&#039;&#039; FHD i7-1165G7 8GB 512GB SSD Silver | SF314-59-7203,"14,999",1,2021,July
609,03/07/2021,Acer Swift 3 Laptop 14&#039;&#039; FHD i5-1135G7 8GB 512GB SSD Silver | SF314-59-55GU,"12,999",1,2021,July
610,03/07/2021,Acer Travelmate Laptop | TMP215-52G-77RH,"17,999",1,2021,July
611,04/07/2021,Acer Swift 3 Laptop 14&#039;&#039; FHD i5-1135G7 8GB 512GB SSD Silver | SF314-59-55GU,"12,999",1,2021,July
612,05/07/2021,Acer Swift 3 Laptop 14&#039;&#039; FHD i7-1165G7 8GB 512GB SSD Silver | SF314-59-7203,"14,999",1,2021,July
613,05/07/2021,Acer Swift 3 Laptop 14&#039;&#039; FHD i5-1135G7 8GB 512GB SSD Silver | SF314-59-55GU,"12,999",1,2021,July
